Date,Price,Open,High,Low,Vol.,Change %
01/26/2025,105000,104700,105440,104510,0.11K,0.29%
01/25/2025,104700,104800,105260,104100,0.14K,-0.10%
01/24/2025,104800,103930,107030,102720,0.52K,0.84%
01/23/2025,103930,103680,106780,101260,1.70K,0.24%
01/22/2025,103680,106150,106290,103400,0.51K,-2.33%
01/21/2025,106150,102170,107360,100140,1.12K,3.90%
01/20/2025,102170,101360,109410,99634,2.92K,0.80%
01/19/2025,101360,104490,106370,99675,1.04K,-3.00%
01/18/2025,104490,104040,104950,102200,0.54K,0.43%
01/17/2025,104040,100040,105800,100000,1.26K,4.00%
01/16/2025,100040,100490,100790,97381,0.67K,-0.45%
01/15/2025,100490,96701,100660,96664,0.73K,3.92%
01/14/2025,96701,94682,97451,94492,0.49K,2.13%
01/13/2025,94682,94574,95967,89939,1.85K,0.11%
01/12/2025,94574,94716,95511,93835,0.23K,-0.15%
01/11/2025,94716,94835,95114,93958,0.15K,-0.13%
01/10/2025,94835,92692,95930,92374,0.44K,2.31%
01/09/2025,92692,95198,95476,91431,1.31K,-2.63%
01/08/2025,95198,97006,97339,92863,1.60K,-1.86%
01/07/2025,97006,102290,102760,96218,1.09K,-5.17%
01/06/2025,102290,98400,102550,98004,0.83K,3.95%
01/05/2025,98400,98310,98876,97372,0.22K,0.08%
01/04/2025,98319,98179,98781,97601,0.15K,0.14%
01/03/2025,98179,97034,99020,96191,0.47K,1.18%
01/02/2025,97034,94757,97887,94521,0.58K,2.40%
01/01/2025,94757,93780,95282,93131,0.55K,1.04%
12/31/2024,93780,92982,96400,92175,1.12K,0.86%
12/30/2024,92982,93944,95130,91696,1.82K,-1.02%
12/29/2024,93944,95533,95556,93199,0.59K,-1.66%
12/28/2024,95533,94419,95854,94311,0.29K,1.18%
12/27/2024,94419,95883,97534,93630,0.53K,-1.53%
12/26/2024,95883,99420,99900,95309,0.75K,-3.56%
12/25/2024,99420,98750,99566,97732,0.48K,0.68%
12/24/2024,98750,94918,99554,93571,0.59K,4.04%
12/23/2024,94918,95201,96529,92666,1.79K,-0.30%
12/22/2024,95201,97289,97435,94333,0.91K,-2.15%
12/21/2024,97289,97857,99507,96428,0.58K,-0.58%
12/20/2024,97857,97515,98180,92454,3.64K,0.35%
12/19/2024,97515,100230,102800,95702,1.55K,-2.71%
12/18/2024,100230,106000,106350,100110,1.27K,-5.43%
12/17/2024,105990,105870,108080,105160,1.39K,0.11%
12/16/2024,105870,104340,107580,103230,1.88K,1.47%
12/15/2024,104340,101320,105000,101210,0.95K,2.98%
12/14/2024,101320,101370,102470,100560,0.67K,-0.05%
12/13/2024,101370,100010,101840,99228,0.56K,1.36%
12/12/2024,100010,101100,102350,99280,0.78K,-1.08%
12/11/2024,101100,96650,101800,95771,1.02K,4.60%
12/10/2024,96650,97500,98357,94400,0.78K,-0.87%
12/09/2024,97500,101240,101280,94255,1.58K,-3.69%
12/08/2024,101240,99936,101480,98803,0.42K,1.30%
12/07/2024,99936,99786,100530,99016,0.36K,0.15%
12/06/2024,99786,96833,101900,96283,1.46K,3.05%
12/05/2024,96833,98709,103990,91398,5.28K,-1.90%
12/04/2024,98709,96083,99166,94737,0.89K,2.75%
12/03/2024,96065,95925,96402,93792,1.52K,0.15%
12/02/2024,95925,97365,98240,94713,1.14K,-1.48%
12/01/2024,97365,96506,97959,95836,0.58K,0.89%
11/30/2024,96506,97579,97580,96222,0.35K,-1.08%
11/29/2024,97564,95761,98682,95511,0.68K,1.88%
11/28/2024,95761,95953,96628,94750,0.33K,-0.20%
