model,MSE,MAE,R2_score,MAPE,time frame,type
Lstm,138990.421875,264.8699035644531,0.6636146306991577,0.03110565058887,2015_2019,h
Lstm,12356983.0,2656.415283203125,0.9591655135154724,0.030248362571001,2015_2025,h
mLstm,4015359.25,1431.601806640625,0.9867309927940368,0.0177581384778022,2015_2025,h
sLstm,114400.6328125,250.42449951171875,0.7231268882751465,0.0295181367546319,2015_2019,h
xLstm,127024.4609375,274.6271667480469,0.6925746202468872,0.0323961712419986,2015_2019,h
Arima,947576.557743704,807.9734816183941,-0.1147353970605866,0.0868636176856468,2015_2019,h
Arima,1589003638.0486283,35780.71933113896,-4.145886077998893,0.4329898156707275,2015_2025,h
sLstm,4004088.0,1430.42138671875,0.9867681860923768,0.0177461244165897,2015_2025,h
prophtet,2454877975.782616,46797.42213015118,-6.949964428199296,0.5861493937315874,2015_2025,h
prophtet,29017965.55888789,5342.6080976953,-33.13692866801215,0.5916238564945978,2015_2019,h
naive,4059866.093156368,1441.610207399857,0.9865838933984082,0.0178570285302324,2015_2025,h
naive,90309.10940294508,195.00924750107984,0.7814333809327978,0.0228462668362479,2015_2019,h
xLstm,4002444.0,1430.0478515625,0.986773669719696,0.0177452694624662,2015_2025,h
Lstm,292475.8125,441.79681396484375,0.2921483516693115,0.0525079183280468,2015_2019,hs
PatchTST,6984009.757471804,2034.2067964480875,0.9773827336080128,0.0264714666989609,2015_2025,h
mLstm,93228.9296875,201.3461303710937,0.7743667960166931,0.0237066075205802,2015_2019,hs
PatchTST,225797.991177754,327.7528187144886,0.732504687598599,0.0372067012879033,2015_2019,h
TSTPlus,122337.32396429236,271.26906516335225,0.8550710725038377,0.0303372582564484,2015_2019,hs
TSTPlus,213097.1711536429,376.6875332919034,0.7475509234060249,0.0404186422775621,2015_2019,h
TSTPlus,10321703.920647126,2518.8650529371585,0.9665738257391836,0.0316268127384954,2015_2025,h
sLstm,115536.0625,252.8293609619141,0.7203789949417114,0.029804578050971,2015_2019,hs
xLstm,88991.1640625,196.7968292236328,0.7846230864524841,0.0230438113212585,2015_2019,hs
mLstm,92928.9453125,201.9701385498047,0.7750928401947021,0.023756539449095726,2015_2019,h
